epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
9,0.9068322777748108,9.999999747378752e-06,0.7569354772567749,0.9130434989929199,0.6914363503456116
10,0.9309006333351135,9.999999747378752e-06,0.6983411908149719,0.9130434989929199,0.6832090020179749
11,0.9398291707038879,9.999999747378752e-06,0.6542344093322754,0.9166666865348816,0.6777781248092651
12,0.9398291707038879,9.999999747378752e-06,0.6364020109176636,0.9130434989929199,0.6716490983963013
13,0.9530279636383057,9.999999747378752e-06,0.6174768209457397,0.91847825050354,0.6693661212921143
14,0.9510869383811951,9.999999747378752e-06,0.6015681028366089,0.91847825050354,0.6672952175140381
15,0.9646739363670349,9.999999747378752e-06,0.5884791016578674,0.9166666865348816,0.6668559312820435
16,0.9670031070709229,9.999999747378752e-06,0.5742133259773254,0.9166666865348816,0.6667304635047913
17,0.9670031070709229,9.999999747378752e-06,0.5695861577987671,0.9148550629615784,0.6633871793746948
18,0.9693322777748108,9.999999747378752e-06,0.5696240663528442,0.9130434989929199,0.6625567078590393
