epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.633152186870575,0.0010000000474974513,2.0787904262542725,0.85326087474823,1.2223156690597534
1,0.9052795171737671,0.0010000000474974513,1.1027164459228516,0.89673912525177,1.0411049127578735
2,0.926630437374115,0.0010000000474974513,0.9927403330802917,0.91847825050354,0.9943851232528687
3,0.9437111616134644,0.0010000000474974513,0.942263662815094,0.9148550629615784,0.9734969139099121
4,0.9561335444450378,0.0010000000474974513,0.9081799983978271,0.9130434989929199,0.9603115320205688
5,0.9666149020195007,0.0010000000474974513,0.8864552974700928,0.9202898740768433,0.9498785138130188
6,0.9712733030319214,0.0010000000474974513,0.8642107248306274,0.9202898740768433,0.9408275485038757
7,0.9697204828262329,0.0010000000474974513,0.856031060218811,0.9257246255874634,0.9353566765785217
8,0.9813664555549622,0.0010000000474974513,0.8407235741615295,0.9202898740768433,0.9325519800186157
9,0.9825310707092285,0.0010000000474974513,0.8320633769035339,0.91847825050354,0.9299761056900024
