epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
10,0.9499223828315735,9.999999747378752e-06,0.6841899156570435,0.8822463750839233,0.7777519822120667
11,0.9770962595939636,9.999999747378752e-06,0.5779536366462708,0.8804348111152649,0.7652327418327332
12,0.9805900454521179,9.999999747378752e-06,0.544518768787384,0.8768116235733032,0.7644601464271545
13,0.9899068474769592,9.999999747378752e-06,0.5194122791290283,0.8786231875419617,0.758583664894104
14,0.9945651888847351,9.999999747378752e-06,0.505341112613678,0.8894927501678467,0.7578327655792236
15,0.9957298040390015,9.999999747378752e-06,0.4943559467792511,0.8931159377098083,0.7605915069580078
16,0.9972826242446899,9.999999747378752e-06,0.4845770597457886,0.8913043737411499,0.7582634091377258
17,0.9984471797943115,4.999999873689376e-06,0.4774612486362457,0.8913043737411499,0.7532292604446411
18,0.9988353848457336,4.999999873689376e-06,0.47345831990242004,0.8949275612831116,0.7530682682991028
19,0.9976708292961121,4.999999873689376e-06,0.47194036841392517,0.9003623127937317,0.7519415616989136
